Country (or dependent territory),1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Eritrea,,,,,,,,,,,,,,,,,,,,,,,783,483,560,624,749,767,809,794,706,752,729,870,"1,109","1,098","1,211","1,318","1,380","1,857","2,117","2,608","3,092","3,502","4,052","4,666","5,005","5,813","6,721","7,718","8,116","9,406","10,979","12,706","14,745"
Estonia,,,,,,,,,,,,,,,,,,,,,,,,"1,739","2,435","3,797","4,745","5,072","5,621","5,741","5,706","6,260","7,345","9,852","12,071","14,024","16,987","22,265","24,285","19,712","19,538","23,191","23,057","25,089","26,255","22,472","23,348","26,665","30,312","31,026","33,235","35,424","37,702","40,025","42,747"
Ethiopia,"2,559","2,709","2,958","3,421","3,846","3,828","4,160","4,730","5,034","5,533","7,385","7,578","7,973","8,863","8,375","9,808","10,188","10,890","11,285","11,872","12,595","13,928","14,696","9,143","8,135","8,431","8,826","8,909","8,078","7,927","8,235","8,223","7,851","8,623","10,142","12,408","15,283","19,701","26,839","32,464","29,917","31,958","43,134","47,656","55,512","64,683","73,151","75,745","80,279","90,968","99,371","108,065","117,111","127,234","138,040"
Fiji,223,249,320,430,564,691,702,727,838,"1,030","1,231","1,264","1,222","1,149","1,205","1,168","1,320","1,205","1,136","1,210","1,337","1,384","1,532","1,635","1,825","1,970","2,129","2,094","1,656","1,942","1,684","1,660","1,843","2,316","2,727","3,007","3,103","3,405","3,647","2,971","3,251","3,775","3,972","4,190","4,470","4,391","4,666","4,891","5,118","5,324","5,671","6,039","6,426","6,844","7,282"
Finland,"11,113","12,257","14,425","19,053","24,312","29,122","31,469","33,102","35,826","43,934","53,731","52,625","53,123","51,065","53,028","56,234","73,660","91,782","108,806","119,237","141,806","128,279","113,104","89,323","103,761","134,350","132,155","127,005","134,111","135,403","125,908","129,361","140,047","171,398","197,035","204,786","216,742","255,739","285,087","252,137","248,262","273,925","256,849","270,065","273,042","232,556","238,776","252,809","275,321","276,572","289,243","300,441","311,623","323,318","336,219"
France,"146,436","163,704","200,946","261,468","282,158","355,617","367,273","405,397","500,052","605,041","704,515","621,172","590,127","564,582","534,333","559,846","776,121","939,453","1,025,679","1,031,314","1,278,666","1,280,302","1,412,100","1,331,659","1,404,479","1,611,198","1,614,708","1,462,606","1,512,957","1,502,245","1,372,452","1,383,406","1,505,649","1,851,660","2,126,995","2,207,450","2,327,052","2,666,805","2,937,321","2,700,658","2,651,772","2,865,304","2,682,901","2,809,390","2,843,673","2,434,787","2,466,472","2,587,682","2,775,252","2,761,633","2,876,053","2,981,601","3,099,755","3,219,884","3,354,126"
French Polynesia,233,272,299,395,509,633,717,771,975,"1,211",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,396,467,527,885,"1,890","2,641","3,684","3,439","2,925","3,709","4,559","4,111","3,853","3,689","3,547","3,736","4,889","3,699","4,079","4,458","6,339","5,754","5,955","5,757","4,463","5,281","6,064","5,673","4,774","4,966","5,397","5,019","5,310","6,497","7,756","9,459","10,154","12,439","15,509","12,152","14,359","18,203","17,181","17,596","18,209","14,370","14,020","14,922","17,033","16,709","17,893","19,097","20,361","21,704","23,316"
Gambia,96,101,132,224,293,352,323,342,406,445,631,604,571,574,413,502,392,525,610,640,751,793,855,916,907,948,989,"1,025","1,052","1,080","1,052","1,045",924,879,"1,003","1,078","1,071","1,274","1,613","1,488","1,630","1,398","1,423","1,367","1,259","1,370","1,445","1,483","1,617","1,741","1,870","1,992","2,121","2,249","2,385"
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,827,"1,907","3,063","3,511","3,607","2,805","3,057","3,218","3,396","3,991","5,126","6,411","7,745","10,173","12,795","10,767","11,638","14,435","15,847","16,141","16,515","13,996","14,330","15,080","16,324","17,214","18,888","20,739","22,409","24,167","26,091"
